handle,title,type,potrzeba_proposed,uzycie_proposed,other_tags,source_dzialanie
niaouli-bio,"Niaouli BIO",Olejek eteryczny,stres|odpornosc|skora,skora|kapiel|inhalacja,bio|promocja,"Ogólne osłabienie; Oparzenia słoneczne; Wspomaga immunologię; Wspomaga krążenie krwi; Wspomagająco w stanach zapalnych skóry; Wspomagająco w trudnościach emocjonalnych"
olibanum-kadzidlowiec-bio,"Kadzidłowiec (Olibanum) BIO",Olejek eteryczny,,dyfuzja|skora|kapiel|inhalacja|doustnie,bio,""
pomarancza-bio,"Pomarańcza słodka BIO",Olejek eteryczny,sen|stres|skora|trawienie,,bio|fototoksyczny,"Przewlekły stres; Wspomaga krążenie krwi; Wspomagająco w bezsenności; Wspomagająco w niestrawnościach; Wspomagająco w trudnościach emocjonalnych; Wzmacniający w stanach wyczerpania intelektualnego"
wrotycz-marokanski,"Wrotycz Blue Tansy",Olejek eteryczny,stres|odpornosc|skora,skora|doustnie,promocja,"Wspomaga immunologię; Wspomaga krążenie krwi; Wspomaga układ limfatyczny; Wspomagająco w alergiach skórnych; Wspomagająco w egzemie; Wspomagająco w grzybicy skóry"
gozdzik-bio,"Goździk BIO",Olejek eteryczny,stres|skora,doustnie,bio,"Wspomagająco w grzybicy skóry; Wspomagająco w stanach zapalnych skóry; Wzmacniający w stanach wyczerpania intelektualnego"
praktyczny-miniprzewodnik-po-aromaterapii,"Praktyczny miniprzewodnik po aromaterapii",Kompendium,,,,""
palmarosa-bio,"Palmarosa BIO",Olejek eteryczny,odpornosc|skora,skora|kapiel,bio,"Ułatwiające gojenie się ran; Wspomaga immunologię; Wspomaga układ limfatyczny; Wspomagająco w egzemie; Wspomagająco w grzybicy skóry; Wspomagająco w stanach zapalnych skóry"
paczula-bio,"Paczula BIO",Olejek eteryczny,sen|stres|skora|trawienie,skora|kapiel,bio,"Przewlekły stres; Ściągające skórę; Ułatwiające gojenie się ran; Wspomaga krążenie krwi; Wspomaga układ limfatyczny; Wspomagająco przy trądziku różowatym"
kardamon-bio,"Kardamon BIO",Olejek eteryczny,stres|odpornosc|oddychanie|trawienie,,bio,"Przewlekły stres; Wspomaga rozrzedzanie wydzieliny oskrzelowej; Wspomagająco w ciężkich infekcjach dróg oddechowych w celu uniknięcia nadkażeń; Wspomagająco w niestrawnościach"
baktemix-i-suplement-bio,"Baktemix I Suplement BIO",Mieszanka,odpornosc,,bio,"Wspomagająco w boreliozie; Wspomagająco w neuroboreliozie; Wspomagająco w przewlekłych infekcjach bakteryjnych"
imbir-swiezy-bio,"Imbir świeży BIO",Olejek eteryczny,odpornosc|trawienie,dyfuzja|skora|doustnie,bio,"Afrodyzjak; Wspomaga krążenie krwi; Wspomagająco w infekcjach wirusowych; Wspomagająco w niestrawnościach; Wspomagająco w trudnościach emocjonalnych"
cedr-atlaski-bio,"Cedr atlaski BIO",Olejek eteryczny,,dyfuzja|skora|kapiel|inhalacja|doustnie,bio,""
dyfuzor-nebulizator-bolea,"Dyfuzor - nebulizator Bolea",Dyfuzor,dom,,promocja,""
dyfuzor-nebulizator-cimio,"Dyfuzor - nebulizator Cimio",Dyfuzor,dom,,,""
dyfuzor-ultradzwiekowy-stella,"Dyfuzor ultradźwiękowy Stella",Dyfuzor,dom,,promocja,""
dyfuzor-ultradzwiekowy-medusa,"Dyfuzor ultradźwiękowy Medusa",Dyfuzor,dom,,promocja,""
dyfuzor-ultradzwiekowy-woody,"Dyfuzor ultradźwiękowy Woody",Dyfuzor,dom,,promocja,""
dyfuzor-delikatnym-cieplem-cosy,"Dyfuzor - dyfuzja delikatnym ciepłem Cozy czarny",Dyfuzor,dom,,promocja,""
podgrzewacz-ceramiczny-seis,"Podgrzewacz ceramiczny Seis",Dyfuzor,dom,,,""
podrzewacz-ceramiczny-una,"Podgrzewacz ceramiczny Una",Dyfuzor,dom,,,""
dyfuzor-dyfuzja-delikatnym-cieplem-calorya-n3,"Dyfuzor - dyfuzja delikatnym ciepłem Calorya n°3",Dyfuzor,dom,,promocja,""
dyfuzor-dyfuzja-delikatnym-cieplem-calorya-n4,"Dyfuzor - dyfuzja delikatnym ciepłem Calorya n°4",Dyfuzor,dom,,promocja,""
podrzewacz-ceramiczny-dos,"Podgrzewacz ceramiczny Dos",Dyfuzor,dom,,promocja,""
dyfuzor-samochodowy-dragon,"Dyfuzor samochodowy Dragon",Dyfuzor,dom,,,""
skarpety-spa-zielone,"Skarpety Spa zielone z olejami",Akcesorium,dzieci|pielegnacja,,dla:mezczyzn|dla:kobiet,""
skarpety-spa-rozowe,"Skarpety Spa różowe z olejami",Akcesorium,dzieci|pielegnacja,,dla:mezczyzn|dla:kobiet,""
gua-sha-masaz-twarzy-rozowy-kwarc,"Gua Sha Masaż twarzy - Kwarc różowy",Akcesorium,dzieci|pielegnacja,,dla:mezczyzn|dla:kobiet|promocja,""
gua-sha-masaz-twarzy-jadeit-zielony,"Gua Sha Masaż twarzy - Jadeit zielony",Akcesorium,dzieci|pielegnacja,,dla:mezczyzn|dla:kobiet|promocja,""
gua-sha-masaz-twarzy-jadeit-bialy,"Gua Sha Masaż twarzy - Jadeit biały",Akcesorium,dzieci|pielegnacja,,dla:kobiet|promocja,""
glinka-biala-bio,"Glinka biała BIO",Akcesorium,dzieci,,bio|promocja,""
glinka-czerwona-bio,"Glinka czerwona BIO",Akcesorium,,,bio|promocja,""
glinka-rozowa-bio,"Glinka różowa BIO",Akcesorium,,,bio,""
glinka-zielona-bio,"Glinka zielona BIO",Akcesorium,,,bio,""
glinka-zolta-bio,"Glinka żółta BIO",Akcesorium,,,bio|promocja,""
olej-jojoba-bio,"Olej Jojoba BIO",Olej roślinny,,,bio,""
olej-makadamia-bio,"Olej Makadamia BIO",Olej roślinny,,,bio,""
olej-tamanu-calophylle-inophyle-bio,"Olej Tamanu - Calophylle inophyle BIO",Olej roślinny,,,bio,""
olej-z-rozy-rdzawej-bio,"Olej Róża rdzawa BIO",Olej roślinny,,,bio,""
olej-ze-slodkich-migdalow-bio,"Olej ze Słodkich Migdałów BIO",Olej roślinny,,,bio,""
dyfuzor-ultradzwiekowy-julia,"Dyfuzor ultradźwiękowy Julia",Dyfuzor,dom,,promocja,""
dyfuzor-samochodowy-zaczarowany-las,"Dyfuzor samochodowy Zaczarowany Las",Dyfuzor,dom,,,""
dyfuzor-samochodowy-lapacz-snow,"Dyfuzor samochodowy Łapacz Snów",Dyfuzor,dom,,,""
palo-santo-bio,"Palo Santo dzikie",Olejek eteryczny,sen|stres|odpornosc|skora,dyfuzja|skora|kapiel|inhalacja|doustnie,,"Afrodyzjak; Odbudowa odporności; Ogólne osłabienie; Oparzenia słoneczne; Opuchnięcia; Przewlekły stres"
wetiweria-bio,"Wetiweria BIO",Olejek eteryczny,,,bio|promocja,""
golteria-rozeslana-bio,"Golteria rozesłana BIO (Wintergreen)",Olejek eteryczny,,skora,bio,"Opuchnięcia; Wspomaga krążenie krwi; Wspomaga układ limfatyczny; Wspomagająco w boreliozie"
hydrolat-roza-damascenska-bio,"Hydrolat Róża damasceńska BIO",Hydrolat,,,bio,""
hydrolat-czystek-bio,"Hydrolat Czystek ladanowy BIO",Hydrolat,,,bio,""
hydrolat-geranium-bio,"Hydrolat Geranium BIO",Hydrolat,,,bio,""
hydrolat-kwiat-pomaranczy-bio,"Hydrolat Neroli BIO",Hydrolat,,,bio,""
hydrolat-rumianek-rzymski-bio,"Hydrolat Rumianek rzymski BIO",Hydrolat,,,bio,""
hydrolat-mieta-pieprzowa-bio,"Hydrolat Mięta pieprzowa BIO",Hydrolat,,,bio,""
hydrolat-lawenda-waskolistna-bio,"Hydrolat Lawenda wąskolistna BIO",Hydrolat,,,bio,""
hydrolat-kocanka-wloska-bio,"Hydrolat Kocanki włoskie BIO",Hydrolat,,,bio,""
hydrolat-jalowiec-bio,"Hydrolat Jałowiec BIO",Hydrolat,,,bio,""
hydrolat-rozmaryn-ct-werbenon-bio,"Hydrolat Rozmaryn CT werbenon BIO",Hydrolat,,,bio,""
hydrolat-czarna-porzeczka-bio,"Hydrolat Czarna porzeczka BIO",Hydrolat,,,bio,""
roza-damascenska-bio,"Róża damasceńska BIO",Kompendium,,,bio,""
hydrolat-bazylia-bio,"Hydrolat Bazylia BIO",Hydrolat,,,bio,""
hydrolat-szalwia-muszkatolowa-bio,"Hydrolat Szałwia muszkatołowa BIO",Hydrolat,,,bio,""
hydrolat-marchew-zwyczajna-bio,"Hydrolat Marchew zwyczajna BIO",Hydrolat,,,bio,""
polaczenie-synergia,"Połączenie Synergia",Mieszanka,,,,""
ambasadorski-zestaw-startowy,"Ambasadorski zestaw startowy",Kompendium,,,,""
tulsi-lub-bazylia-swieta-bio,"Bazylia święta lub Tulsi BIO",Olejek eteryczny,,,bio,""
limonka-bio,"Limonka Bio",Olejek eteryczny,,,bio|fototoksyczny,""
grejpfrut-bio,"Grejpfrut BIO",Olejek eteryczny,,,bio|fototoksyczny,""
klementynka-destylowana-bio,"Klementynka destylowana BIO",Olejek eteryczny,,,bio|fototoksyczny,""
bergamotka-bio,"Bergamotka BIO",Olejek eteryczny,,,bio|fototoksyczny,""
kompendium-aromaterapii-cz-i-olejki-eteryczne,"Kompendium Aromaterapii Olejki eteryczne pdf",Kompendium,,,,""
fiszka-bazylia-egzotyczna,"Fiszka Bazylia egzotyczna",Kompendium,,,,""
fiszka-bazylia-swieta-tulsi,"Fiszka Bazylia święta - Tulsi",Kompendium,,,,""
fiszka-bergamotka,"Fiszka Bergamotka",Kompendium,,,,""
fiszka-cedr-atlaski,"Fiszka Cedr atlaski",Kompendium,,,,""
fiszka-cynamon-cejlonski-lisc,"Fiszka Cynamon cejloński liść",Kompendium,,,,""
fiszka-cytryna,"Fiszka Cytryna",Kompendium,,,,""
fiszka-czaber,"Fiszka Cząber",Kompendium,,,,""
fiszka-czystek,"Fiszka Czystek",Kompendium,,,,""
fiszka-drzewo-herbaciane,"Fiszka Drzewo herbaciane",Kompendium,,,,""
fiszka-eukaliptus-cytrynowy,"Fiszka Eukaliptus cytrynowy",Kompendium,,,,""
fiszka-eukaliptus-galkowy,"Fiszka Eukaliptus gałkowy",Kompendium,,,,""
fiszka-eukaliptus-radiata,"Fiszka Eukaliptus radiata",Kompendium,,,,""
fiszka-geranium-rosat,"Fiszka Geranium rosat",Kompendium,,,,""
fiszka-golteria-rozeslana,"Fiszka Golteria rozesłana",Kompendium,,,,""
